RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31
102001,0,United States,country,,1194.5313160654555,1201.0466779847682,1209.9774648406008,1219.121983802652,1228.2107765911524,1236.1683734454932,1242.0020258458019,1245.6891857122016,1247.634399658883,1248.0571684949384,1248.4791410690698,1248.9318336163615,1252.0368439992617,1256.9753393501571,1263.192478141214,1271.1914228203161,1279.4504625788366,1287.7108227598287,1292.4649883507595,1294.6579977305755,1294.4801489019035,1292.9930171360927,1291.774665404476,1291.070985885898,1295.7617254648824,1303.5446073886658,1315.257988531037,1325.1344536210302,1334.635111003226,1341.83185368493,1346.689286376304,1348.2234866005829,1348.4734623416373,1346.79803419686,1346.6722377323317,1347.5300357751069,1352.495049442451,1359.9396318133702,1369.6462655279727,1379.3115609897702,1387.629973425933,1395.1806824517503,1400.5336877063523,1403.6769983077277,1402.948044582702,1402.2306207877389,1402.828703478026,1404.996956416085,1409.2049019077588,1415.3567402802837,1425.7276700386985,1435.9539056192777,1445.973779949798,1454.004871075432,1459.8628004163588,1462.8234661272722,1462.405797623473,1460.9006552148344,1459.7007032511722,1460.9484238136004,1466.0307655342556,1474.287255256602,1482.8549455227028,1483.9352480324972,1483.4625742805306,1484.1053277201918,1489.517382316505,1490.9538462476844,1488.5046847243977,1485.5686818286965,1484.1596317023825,1486.241694014622,1493.9765077572965,1506.1539225728475,1521.8022987486138,1541.1010754930699,1566.5967253331614,1596.539982471865,1627.8918344966319,1656.961459581723,1680.5860804641786,1695.3574282717427,1704.9783568234732,1714.477370066781,1725.4055694921883,1740.8269280967543,1756.7359826965085,1777.4868497217908,1798.4764918165397,1820.3082748813738,1838.2920734187426,1848.5366044572663,1850.8546231888372,1846.2787400238276,1840.3173859311407,1837.4254348900417,1839.504696829425,1846.3853458349513,1859.1347863286069,1870.2135855410183,1882.4626194872774,1889.8658504462778,1898.683129829374,1903.3563647131175,1904.1536130748254,1901.0533800581907,1896.2465547529614,1893.7146529562167,1897.083924177618,1905.2411708931545,1916.421661835039,1927.3781107245295,1938.5581563999733,1948.3320275347876,1955.8835404135525,1959.4639996776618,1960.9083849682404,1959.3604744715874,1958.7924487612552,1957.6502279524425,1962.8353637142854,1970.998276804862,1982.77199796318,1992.0641662152714,1999.3185939308057,2004.2821546636224,2006.5960078016476,2007.2749892464765
394913,1,"New York, NY",msa,NY,2351.7802097653935,2367.437617380402,2387.3952522427558,2407.6394770124853,2423.2989753799898,2439.5037024502253,2450.528513534303,2461.0516614025437,2465.186053603186,2462.907376154968,2453.4020596325254,2443.659662705481,2440.83836068643,2445.357889123786,2454.4094065943646,2467.5116074739717,2482.633008700943,2498.2809182444958,2511.464598815006,2515.8181111482418,2516.336669622388,2508.5509295683987,2503.965860558352,2492.056169758345,2488.7431156737243,2489.6082042776106,2502.1633454432454,2517.3633385777835,2536.127737804821,2551.2170627260252,2562.325234749345,2564.4559286348867,2562.611421838837,2548.371247872091,2532.5452254827183,2518.9258791037573,2517.70912708082,2525.220520414103,2538.7841507334433,2558.8943490171437,2577.969294182656,2595.856726322613,2608.4613593767062,2617.632014910177,2618.066891752492,2608.759116947398,2597.554188158986,2587.1997848273772,2587.0255304016227,2596.7338970461756,2613.5196903712567,2631.929132526528,2652.853988463387,2675.154101055435,2691.365488560257,2699.3177102558616,2697.4055417999652,2692.4357046083633,2679.238835534795,2671.694107131467,2671.17745225536,2685.0150184774325,2695.0656061226855,2688.7515970790987,2672.0813814818785,2648.4901262811595,2623.060114098352,,,2477.3316953336557,2444.496656277645,2431.2295965210046,2429.8059400851457,2444.7570222067293,2466.8831552567644,2495.838212090464,2541.665613020537,2597.9308941369745,2663.015901460479,2725.026959206909,2775.6026118567206,2810.57871905868,2833.9169140337276,2855.541751624324,2881.305487451415,2914.634351919664,2954.324251023233,2996.8469896174847,3049.602545558558,3104.9188979321298,3154.327835869905,3183.160824731823,3187.3732409093686,3172.345728308744,3145.726874162606,3125.938165496127,3123.392633201639,3136.8225502450223,3164.403826620474,3197.9213130122725,3235.142701723212,3266.1751890399782,3288.933126811258,3299.2896372936016,3298.814217710971,3284.2381855059803,3263.3457705050528,3248.805219731195,3254.3503920101116,3273.3236999277315,3303.8786784318995,3333.047401793501,3364.854128597348,3392.9492986551527,3409.749811078584,3415.104588836378,3405.6904277801973,3392.2829796234437,3382.7200190612434,3378.0514829162494,3388.3424105574995,3407.7298661270875,3438.8341317191575,3470.845447425428,3500.2222937036504,3533.5444969443874,3564.7525611844453,3586.664318861296
753899,2,"Los Angeles, CA",msa,CA,1787.178665976053,1798.7665752874257,1814.3032218103908,1829.251165753507,1844.157246776112,1856.2955073789656,1868.7689095583041,1879.5295243632595,1889.2698975636106,1894.1997340410264,1898.6099941409798,1904.476073112415,1914.2881815900735,1925.3029125515689,1937.0044327328721,1947.2342357962996,1961.122753965801,1973.572254387242,1986.5761107021995,1992.8180140642635,1998.006280865652,1998.7518765668785,2000.697026004238,2003.3446807594305,2017.1072667023484,2033.84014669833,2055.5722536532458,2069.7739440684836,2082.8862158951033,2092.4217667117323,2102.4051172390537,2108.1450355656343,2113.0064451803887,2113.3637466715613,2118.127170389487,2122.659599686653,2133.9605572379814,2145.9140105588444,2156.649933797114,2165.83240581089,2173.3981828412248,2185.0796014564285,2195.2835919509425,2204.377929038196,2208.4563480050583,2212.608362503199,2217.693024154435,2222.869005561448,2228.1671752439647,2232.5521398312744,2244.743197899222,2255.0711798642055,2268.095962412063,2276.9230691267862,2285.724126806468,2291.53380907191,2295.1606090408795,2296.950393527144,2299.8174927111863,2303.7016700349313,2311.2058753785827,2316.190229098706,2315.8050285701424,2303.9441687779295,2293.290375543889,2287.9568980699696,2290.0717819206766,2290.0331553621736,2289.1550614209036,2289.5642999061706,2290.9664781754927,2291.2701802440793,2301.0500966278337,2312.036278752622,2327.3880693154942,2338.9286758866015,2358.6100652671626,2392.9457025575657,2438.595017322188,2491.3752731928093,2531.282305270234,2556.5967628652384,2570.6651327649124,2588.546719744925,2607.871150052609,2633.966788035986,2658.719719129367,2689.892820650452,2715.1306755408073,2738.79210220523,2757.9240360466083,2772.783213697444,2778.4798289541714,2773.824074297077,2767.6959074452357,2760.495446233556,2759.7408761012416,2764.899977830493,2779.345759028225,2790.2653777794153,2799.0773949726668,2806.7138166738273,2819.822328269509,2830.990039129193,2834.5063229275165,2831.5415906679987,2821.769933876394,2816.1235924113216,2820.351221346063,2830.8415681301644,2844.1905258030247,2853.3353333404634,2865.146037525764,2877.370313382881,2890.4364066688872,2897.4919179100916,2902.9148140928387,2901.896906751713,2899.6022062942325,2894.0183807090693,2915.550897142319,2937.8354540148894,2961.810117378131,2960.3186931010728,2964.186810202323,2968.7454244971645,2971.566852106742,2972.770030569686
394463,3,"Chicago, IL",msa,IL,1392.3102866649353,1399.360552304208,1409.3185498016096,1418.7741791131127,1428.9617256239926,1438.6539832556098,1443.2512051163014,1445.913487083776,1440.7843276891833,1433.901828426344,1427.1058130797244,1427.7500299096635,1435.3665444040314,1444.717237184769,1456.072616178553,1463.6967472530948,1472.3079179257245,1479.741602728978,1486.198688233142,1489.710084785696,1483.0596622816486,1473.341363343544,1461.467266059186,1455.8896023859088,1461.805245077583,1475.5044926083567,1494.1419840568042,1507.7257619085049,1519.4173159424981,1525.1843137103058,1527.1368378645586,1522.595992467323,1516.9497912005882,1506.1145050281757,1499.3783247033414,1496.8114468136382,1505.0248430584359,1516.5766267876247,1529.4485266171496,1540.5215322372592,1550.7523324372437,1559.8525911079798,1564.3417083095978,1561.8834125199992,1551.6336358590693,1540.0325879371255,1533.1081154441476,1534.0161880230864,1543.3159089949504,1553.925096034787,1569.71055237045,1582.7478049788622,1595.0379675299198,1601.7104198050092,1604.4559999635926,1603.5705082518766,1598.5237048762365,1592.166712072352,1585.5052771997623,1580.5748376109082,1589.329039424643,1601.0444848034201,1616.384639753974,1617.2304135610416,1616.37445114793,1613.4077370154557,1612.842353740893,1607.292417778329,1593.1811162310244,1572.5238240043625,1555.8735844622524,1549.2994392766477,1552.2343198249882,1563.0547249052488,1579.2625143471046,1604.448514357575,1631.0695907415263,1656.3923000871312,1675.404174132143,1688.3530501400421,1695.8984669045142,1695.1786323057104,1695.3167500044415,1700.5196883508577,1714.1405058532594,1729.8283865500202,1749.8388526133272,1773.735543410882,1799.7511401021698,1820.3455607569545,1836.3746032511237,1843.8581209591764,1844.877852551672,1840.4927182640813,1835.4081857840204,1835.712338729935,1843.0231691437195,1857.5021573144854,1875.9055466334844,1894.7222560045523,1916.2325300116106,1933.9782153937897,1946.1348084861042,1952.3199038484686,1949.0363730198958,1942.0482351796002,1934.872620790066,1937.0236242717983,1946.1313847023882,1960.8868665979041,1976.001093447706,1995.726621193391,2012.885329433074,2029.4433591153481,2038.1072246059489,2041.3792716082794,2040.3035020460143,2040.1496632549577,2041.2686391647358,2046.1626664231378,2054.0155708643942,2070.4926176296017,2088.9665796046434,2110.8381794893226,2130.7993935746304,2149.924676392248,2161.3140317931125,2165.4331005126483
394514,4,"Dallas, TX",msa,TX,1084.4616664582102,1089.3213895576332,1097.0925048633574,1108.5122338885565,1118.1550276729492,1126.5129779679282,1133.03545534281,1136.5000795573635,1137.693176181604,1137.2202095472614,1137.8727097517624,1139.7457350260183,1141.8683014778971,1147.82163419177,1156.3587980892817,1166.922239583164,1175.133321301725,1181.9434468777736,1186.9975830427736,1190.360402117752,1190.5542411408035,1191.1091881762388,1190.741920004688,1191.5638907515417,1196.7384503254937,1202.7898015000496,1215.1808125882637,1224.121644095441,1236.5332440750406,1242.898484454946,1247.6634804272628,1248.8906082666645,1247.9394367651485,1245.7040392367742,1247.1036046719532,1247.4409614983426,1252.203837041591,1258.2483131213814,1265.6661779346748,1273.2963318988504,1278.4141092133568,1286.5810731259344,1290.2079294264895,1291.6293846437095,1288.816113092556,1291.4195298463262,1292.620111138867,1295.5149654393545,1297.2159480314856,1301.5439264461045,1312.2370576957464,1321.402408718765,1330.312837159242,1336.794898041277,1339.770104942847,1341.773152188578,1340.5801853877017,1340.144387558376,1338.143633466752,1335.3517106943214,1337.3481658682665,1343.316297984018,1351.380323304356,1352.4102320530144,1351.836262593502,1352.632596537581,1356.6831525366981,1360.4384081152537,1362.614550811956,1365.243185530615,1366.5395425368604,1369.8713253292772,1376.8217441232796,1387.9453927842092,1399.5256068874648,1417.7092178348873,1441.952534854494,1474.6657106304733,1508.0427381269037,1539.4342610761978,1562.6941440844398,1576.7108900740116,1587.528722399563,1597.1702600800095,1608.65262760883,1620.3049138697786,1633.3371420177969,1652.2588909642568,1674.6896205715193,1703.0957996429515,1723.527770053,1730.939655406139,1725.5375460426421,1711.8171185203785,1701.4632813266592,1693.4008845794829,1693.249207083476,1695.9907345458414,1707.2104734560526,1711.6376765223524,1719.6355641191863,1721.9449107566265,1729.0756450599617,1729.798659046999,1725.5464413193947,1717.473256350731,1709.7840500677698,1701.723824866121,1698.6058660242593,1697.086087464175,1701.198637380623,1706.2486626246123,1713.3156005792086,1719.3897686449598,1723.419678987813,1724.5394125425373,1720.1835552185998,1715.795279484394,1709.8134606938518,1705.3093214739629,1703.7691926309014,1709.8659624704967,1719.074033790693,1728.9848721409617,1731.42546605963,1732.477546188751,1729.3762805895915,1726.0044002413708
394692,5,"Houston, TX",msa,TX,1223.6430142059094,1227.6858127462865,1234.5243651930157,1244.6576584556435,1253.764487299657,1262.0829138301676,1263.6995616314687,1264.7091813962297,1262.4968788907404,1259.501393265654,1256.1200251227224,1252.6934680392915,1253.2192677784885,1255.1784259436479,1261.4307147056247,1265.90693444973,1269.145633341082,1270.2314138685733,1269.6393652911113,1267.0352175909966,1261.4227463690634,1257.3896947308506,1251.7258673430456,1249.5796346769255,1250.4525750187413,1258.4041022584981,1266.872030751388,1272.0516397256763,1279.6465277399811,1281.4464743320955,1282.045906122263,1277.1119515186956,1284.1620606382983,1292.2014188699322,1302.8656096283755,1307.7612146705321,1310.787508709312,1316.7316468921506,1319.1638983601674,1326.40584921811,1329.139799007968,1334.0935631835453,1334.013955159492,1332.3957884751565,1328.6835221458562,1328.724678374121,1331.1321421052496,1330.6772345734273,1331.218162605379,1329.8086648715346,1337.139816783531,1342.5926461393967,1351.4824558185899,1357.3259259808453,1360.8673299103332,1360.2110157190818,1357.0731488891715,1356.3824157096074,1356.4787061978943,1359.6825818812194,1362.3814947633664,1368.2342453674282,1373.6130436872547,1370.7350576002784,1364.8244731001182,1360.3975221888452,1364.6549821563476,1369.8965976704335,1370.3337857482084,1372.4420135115383,1373.7218460765773,1374.3309966428455,1377.4477966369866,1379.4663680605925,1388.5296517460652,1401.2142780907309,1422.5366927193618,1449.7405866427955,1475.5440472201865,1499.0697616575012,1512.1429741608545,1519.3527258492306,1522.7719289366635,1527.1823869145205,1533.059333513053,1543.3397959811853,1553.685863510932,1567.6121327419944,1579.2734577929573,1595.1498389508336,1606.6055460801374,1613.3914735259632,1610.9835756732848,1604.9255471092745,1597.579548252973,1595.4435243058545,1598.365674393421,1606.272729691599,1617.8828318068086,1624.4809965176898,1633.6747750608913,1640.6802331915642,1647.3917271896578,1648.6737705652504,1644.3929324070205,1639.519735834151,1634.3570344857353,1632.539290106287,1634.231441327784,1638.900336118073,1643.2681239785725,1651.0115854200221,1659.5637161465952,1668.4885239346122,1673.076768591947,1676.0803383020805,1677.2257724371213,1677.0676952723588,1674.4227482699216,1671.9857212641466,1672.2341099679934,1676.523348022725,1685.413339921022,1690.2638830306983,1691.6963742912772,1684.4108758485042,1684.7623092431436,1683.102588142895
395209,6,"Washington, DC",msa,VA,1736.374338726927,1742.671631034864,1754.8573008620433,1763.8888882638585,1772.6295669252245,1779.1509110043849,1783.0964505328272,1780.6425702780846,1780.0576328683571,1775.2077053518403,1775.1709641492787,1770.3058676425585,1773.8997887926253,1777.3869507528289,1786.6397887930514,1793.8144757573837,1802.155436815309,1808.085676917124,1812.9671734230906,1814.5547049730949,1810.4133667440628,1804.5525309594475,1798.949167100752,1796.9450139687335,1802.431282649801,1814.087326428929,1827.8048415279936,1839.107536528847,1845.9745066150813,1853.461480968413,1856.442306861418,1856.345581802017,1853.7593795428254,1848.9735501604696,1843.650373228517,1840.1299444768167,1842.6942027303962,1849.0421881761451,1861.7055846357873,1874.0715295564075,1885.655234294244,1894.2435764363595,1899.7423668553033,1904.2924813482348,1899.3668492881195,1896.781513454879,1897.130814091469,1902.2221492948931,1906.7456366236393,1913.1288493706709,1923.05693131676,1934.6892448969286,1945.9712954031863,1954.870548898172,1960.6323474746555,1961.760653323284,1961.9363237667305,1955.7912705449348,1949.3292414240702,1949.201461220935,1957.5229457348753,1966.86797989156,1977.7444727937518,1977.6917790819937,1976.1393978150818,1969.1237803096337,1967.6785844352446,1963.2773253256812,1950.1977709530609,1932.2300947377773,1912.0648434129414,1900.7590223438808,1902.9867730404615,1911.6613033876522,1922.5779797108262,1937.7577824316631,1965.9186141049506,2004.4260990595913,2043.0146404511083,2074.6102685468113,2093.656881600639,2103.2025627926823,2103.480929788356,2103.2835600591484,2105.030399278109,2116.5796231019162,2135.0967327049993,2159.7574801588125,2185.8842106550123,2212.719011915983,2237.3935183414383,2249.2080077861806,2249.0450061829615,2232.521621938651,2215.805432330107,2202.378102405797,2203.823935461445,2216.017102254215,2240.6012349909934,2257.253161668516,2275.738793715494,2287.1188319149956,2304.032332601861,2314.3109238824513,2316.708501671947,2313.2614567712826,2305.402489910804,2298.076770936993,2301.2157807394137,2315.1259692129897,2336.5781920066097,2356.711546485405,2376.849526456776,2397.5139108230633,2413.300213980561,2421.179156794111,2420.364370449567,2411.838222941237,2404.70363570494,2398.41197737109,2409.1909307676624,2423.8060363002533,2445.671545372517,2457.8825294384974,2466.2263346095797,2470.27342772698,2469.408147708241,2464.4778159339967
394974,7,"Philadelphia, PA",msa,PA,1220.3696701054137,1226.8476726764702,1240.0574558628546,1246.8387894111831,1252.8275294579018,1255.699046797471,1257.7893746796267,1258.4699838523827,1257.5257889356078,1256.2631289084657,1252.172566367367,1249.1734496559995,1250.518553930067,1259.253016390934,1268.990426335442,1278.1959134509575,1284.6216087067414,1291.7952531554881,1292.9443145648863,1292.625844708705,1289.0787886485227,1287.3189161115863,1289.2415770390799,1290.0173759255556,1294.621163686331,1300.5895541202367,1312.028033024571,1321.094596568067,1326.803986072463,1327.824920659063,1328.2353029133058,1327.9412321336574,1327.2703660694167,1326.637169766591,1326.1328353756146,1329.2450476152624,1332.6355675854284,1340.7474053485505,1351.4552801149375,1361.4722671717273,1370.1375322429885,1373.6784651111188,1374.4294048816744,1373.2107647094506,1371.1631264029336,1372.5142805152811,1375.9237423135573,1377.0083645253421,1381.717550120547,1388.2550450380857,1402.4254550983223,1413.651709971068,1420.97780597536,1428.5560404458226,1432.1422092301132,1432.0474566002626,1427.7310238446794,1426.3689288538117,1426.530733271597,1429.1058630188481,1432.758581375128,1444.182300090864,1455.7630362269458,1460.9505613438237,1461.6614874510722,1462.6833740515076,1468.0762079935319,1467.947908162955,1466.4023390159625,1464.6840061146356,1465.5738106764527,1468.4296115973584,1474.4197020968506,1483.0098681223951,1492.8073931399024,1508.5470406633679,1530.5435763672187,1552.4740055112366,1571.1533550320025,1586.659547360316,1594.697998495186,1603.5677149769065,1611.563392394871,1627.8135403935273,1639.186099601505,1651.4550500910352,1662.5294127676173,1677.3471552245962,1692.2668679052797,1707.2454646074473,1719.217283479568,1724.2076890972482,1724.0797528557741,1718.228818089745,1715.807257286086,1712.8205605690791,1717.3436472061528,1720.7691314739222,1733.6916972812407,1743.5856624059559,1756.0042853175537,1761.2284598043466,1768.5118417678968,1773.4864815102967,1778.4925331737952,1779.9283100757773,1778.6619474759566,1777.0278910813822,1778.9636956995714,1787.6642388429066,1797.395603674261,1807.8784087032252,1817.1599005930507,1826.3649522934431,1832.4979993162685,1836.3632531517244,1839.6712204204503,1844.1464115552603,1849.0765826652068,1855.9224395507085,1861.723942444907,1867.2947933441608,1868.60570136755,1871.8950526696456,1876.7817553154903,1884.7069026671882,1897.4118025730752,1902.9693865234115
394856,8,"Miami, FL",msa,FL,1479.7378374221107,1485.4488299133523,1490.76878273238,1497.8891611087524,1506.4959571177715,1515.121018721295,1524.3237549007265,1531.9862144204471,1543.3026438377565,1550.7322611582304,1560.504423658379,1563.5525170765368,1567.0963030266591,1567.994622947778,1570.6013849036108,1571.9430747251033,1571.4244709276445,1571.481913480465,1573.7446358394452,1576.5842645981218,1581.74040576163,1584.6933240108528,1588.6650102782912,1587.704467690586,1592.3245116480405,1595.7367642525526,1603.823342804811,1606.3269649023812,1609.0330859524647,1612.0095740990832,1617.153023821353,1624.2784550750425,1631.0771544768556,1636.3337303961548,1637.7930864731175,1638.5775320723853,1640.5262676946732,1643.502893510364,1647.2995004962768,1651.4103762029993,1655.4147438452426,1660.807949427316,1666.3932553076718,1673.2359798452287,1678.2408223635014,1685.4093168417771,1691.7216366940122,1696.7070626986533,1695.9969670378573,1694.6213382804358,1695.4945483739195,1698.4514538825306,1703.7096228286089,1707.946376660996,1713.326292450079,1717.3752286668675,1723.5403417731009,1732.9011588472542,1742.9403970520448,1749.4684873956144,1751.6135779346887,1754.549116805283,1755.615669851484,1749.4844591071965,1740.8580736045883,1739.3029742649276,1744.5882155790505,1749.7873498561046,1755.2792387996271,1768.112435654539,1786.3133604944248,1802.1732917106997,1817.7978337367535,1840.6019934421809,1869.43214238137,1903.5723099765476,1943.1387340962106,,,2122.64187603393,2180.4336495812877,2223.563670634583,2268.501002497144,2315.23915739394,2356.614113425387,2390.516715947387,2427.2011194921574,2468.730702129108,2508.144661341847,2534.550889372347,2553.962676627393,2561.5939021447784,2569.8792616263477,2572.4370363968683,2579.663524161231,2583.484757571313,2585.2476757214467,2587.125864850061,2592.8467387410415,2599.097162320983,2605.762072619563,2609.647701164063,2613.412157148913,2617.2357336370096,2621.1118819161743,2630.01544010642,2634.177610573544,2630.7559185900154,2628.9952821995034,2634.053940184473,2644.6817209144638,2652.383225663381,2655.5100868933146,2658.304744862432,2663.4689911752903,2669.1616921945597,2677.3694570274297,2681.357626083845,2686.0446811770535,2687.1378016759827,2690.1259335223085,2692.4290694608203,2697.561819652353,2699.3099710649626,2699.0443652506865,2696.9424826419704,2697.189551251616,2697.5929908134667
394347,9,"Atlanta, GA",msa,GA,1021.229690892052,1025.5580879252582,1028.5072263743402,1038.654142225317,1047.0826152438033,1059.0440473147414,1065.0354462680416,1068.1321181302067,1068.4687534449092,1069.3380917333016,1070.544246280264,1074.2914753028679,1077.7179573851527,1084.5254953837762,1091.5394694748406,1099.3242910048923,1108.2875520918333,1117.3418611443058,1126.2106718402886,1130.1384447833793,1130.3656943508806,1130.3824229048098,1130.7686199909008,1132.8776337285472,1136.941754581893,1145.249172978506,1156.9687768769604,1169.106860971234,1181.2833548265626,1191.413229977074,1200.2173478106197,1203.9989248272861,1206.1411698707543,1202.979435964654,1205.0480714991045,1206.3411092116132,1213.7200174630095,1221.2720370987145,1233.0542147594447,1244.8355795740085,1256.018754729074,1264.6841167800608,1270.5355946259856,1273.1432478065701,1273.0974242826765,1278.7024301606602,1283.8093407628044,1289.5917657155503,1294.5846353440047,1301.6962888812031,1313.689348620083,1325.1707262445582,1336.0802817261947,1344.7206230584165,1349.4252124635345,1353.740598288755,1355.6442650382462,1354.2384268096105,1351.297515777206,1351.2073237842235,1356.1731591780033,1364.3889318617998,1373.1765921449755,1377.1646075120138,1381.3117078868845,1388.4626005660696,1403.2215467856417,1416.8838519240624,1425.7009684082439,1431.587129898376,1436.6278461513475,1443.7483903651032,1457.478814904299,1475.4759336941227,1494.5221380528137,1516.4413307607476,1543.9413086735076,1582.7245776176737,1624.4182452045657,1666.646189551988,1698.09537324167,1717.5789517071878,1725.1152648400252,1727.1158973796057,1729.5418217773145,1734.409731228,1746.4045635511097,1760.0350757652698,1780.1216916788242,1799.7918429081922,1822.6075596723426,1834.3146872511309,1836.440019767512,1826.3424818638823,1815.6750107082808,1811.0833486935855,1809.3830676533466,1813.9770581531275,1825.228186163244,1832.9834637509446,1839.6260862704128,1839.3446914546785,1844.1145393812465,1843.2965696002743,1839.5970289370398,1828.3026544668792,1816.5465687380622,1807.3266652700527,1810.5901198001236,1820.389535574493,1827.6467212109171,1832.5300119394917,1837.6488287211118,1844.420431410708,1848.6854126589633,1846.9633574026861,1849.3434636932707,1847.47352637028,1846.5964570623837,1842.427944956774,1846.83498155855,1859.2519372431868,1870.610760088191,1877.481447418092,1878.821885420381,1880.7075043926857,1885.3744687152227,1890.6468792388139
